# WL(nm)	 Flux(ergs/cm**2/s/nm)
434.0	7.639e+07
435.0	7.976e+07
436.0	8.961e+07
437.0	8.813e+07
438.0	8.009e+07
439.0	8.300e+07
440.0	8.545e+07
441.0	8.832e+07
442.0	9.460e+07
443.0	9.225e+07
444.0	9.405e+07
445.0	9.206e+07
446.0	8.758e+07
447.0	9.442e+07
448.0	9.604e+07
449.0	9.604e+07
450.0	9.853e+07
451.0	1.021e+08
452.0	9.826e+07
453.0	9.229e+07
454.0	9.613e+07
455.0	9.669e+07
456.0	9.886e+07
457.0	1.004e+08
458.0	9.710e+07
459.0	9.645e+07
460.0	9.673e+07
461.0	9.886e+07
462.0	9.941e+07
463.0	9.877e+07
464.0	9.687e+07
465.0	9.539e+07
466.0	9.613e+07
467.0	9.447e+07
468.0	9.553e+07
469.0	9.599e+07
470.0	9.294e+07
471.0	9.276e+07
472.0	9.775e+07
473.0	9.650e+07
474.0	9.682e+07
475.0	9.784e+07
476.0	9.516e+07
477.0	9.558e+07
478.0	9.807e+07
479.0	9.724e+07
480.0	9.719e+07
481.0	9.872e+07
482.0	9.895e+07
483.0	9.747e+07
484.0	9.534e+07
485.0	9.072e+07
486.0	7.916e+07
487.0	8.281e+07
488.0	9.086e+07
489.0	9.123e+07
490.0	9.581e+07
491.0	9.400e+07
492.0	8.873e+07
493.0	9.160e+07
494.0	9.248e+07
495.0	9.322e+07
496.0	9.377e+07
497.0	9.521e+07
498.0	9.072e+07
499.0	9.192e+07
500.0	8.933e+07
501.0	8.781e+07
502.0	8.684e+07
503.0	9.067e+07
504.0	8.938e+07
505.0	9.169e+07
506.0	9.470e+07
507.0	9.007e+07
508.0	8.698e+07
509.0	8.919e+07
510.0	8.855e+07
511.0	9.072e+07
512.0	9.160e+07
513.0	8.665e+07
514.0	8.596e+07
515.0	8.508e+07
516.0	8.489e+07
517.0	7.537e+07
518.0	7.925e+07
519.0	8.314e+07
520.0	8.619e+07
521.0	8.702e+07
522.0	8.716e+07
523.0	8.563e+07
524.0	8.882e+07
525.0	9.007e+07
526.0	8.610e+07
527.0	8.129e+07
528.0	8.610e+07
529.0	9.086e+07
530.0	8.961e+07
531.0	9.100e+07
532.0	8.790e+07
533.0	8.531e+07
534.0	8.776e+07
535.0	8.956e+07
536.0	9.030e+07
537.0	8.665e+07
538.0	8.813e+07
539.0	8.739e+07
540.0	8.383e+07
541.0	8.466e+07
542.0	8.744e+07
543.0	8.628e+07
544.0	8.799e+07
545.0	8.767e+07
546.0	8.827e+07
547.0	8.804e+07
548.0	8.688e+07
549.0	8.707e+07
550.0	8.808e+07
551.0	8.698e+07
552.0	8.758e+07
553.0	8.605e+07
554.0	8.813e+07
555.0	8.836e+07
556.0	8.725e+07
557.0	8.462e+07
558.0	8.411e+07
559.0	8.268e+07
560.0	8.378e+07
561.0	8.499e+07
562.0	8.452e+07
563.0	8.702e+07
564.0	8.480e+07
565.0	8.420e+07
566.0	8.309e+07
567.0	8.485e+07
568.0	8.457e+07
569.0	8.355e+07
570.0	8.337e+07
571.0	8.258e+07
572.0	8.522e+07
573.0	8.624e+07
574.0	8.610e+07
575.0	8.471e+07
576.0	8.392e+07
577.0	8.476e+07
578.0	8.323e+07
579.0	8.314e+07
580.0	8.406e+07
581.0	8.402e+07
582.0	8.517e+07
583.0	8.503e+07
584.0	8.554e+07
585.0	8.332e+07
586.0	8.161e+07
587.0	8.369e+07
588.0	8.291e+07
589.0	7.611e+07
590.0	7.935e+07
591.0	8.240e+07
592.0	8.231e+07
593.0	8.249e+07
594.0	8.235e+07
595.0	8.101e+07
