wavelength,photoabsorption,photodissociation,photoionisation
79.97,9.67E-18,0.00E+00,9.67E-18
79.98,9.64E-18,0.00E+00,9.64E-18
79.99,9.56E-18,0.00E+00,9.56E-18
80,9.45E-18,0.00E+00,9.45E-18
80.01,9.42E-18,0.00E+00,9.42E-18
80.02,9.39E-18,0.00E+00,9.39E-18
80.03,9.36E-18,0.00E+00,9.36E-18
80.04,9.25E-18,0.00E+00,9.25E-18
80.05,9.20E-18,0.00E+00,9.20E-18
80.06,9.26E-18,0.00E+00,9.26E-18
80.07,9.35E-18,0.00E+00,9.35E-18
80.08,9.41E-18,0.00E+00,9.41E-18
80.09,9.41E-18,0.00E+00,9.41E-18
80.1,9.41E-18,0.00E+00,9.41E-18
80.11,9.40E-18,0.00E+00,9.40E-18
80.12,9.38E-18,0.00E+00,9.38E-18
80.13,9.30E-18,0.00E+00,9.30E-18
80.14,9.23E-18,0.00E+00,9.23E-18
80.15,9.20E-18,0.00E+00,9.20E-18
80.16,9.21E-18,0.00E+00,9.21E-18
80.17,9.25E-18,0.00E+00,9.25E-18
80.18,9.31E-18,0.00E+00,9.31E-18
80.19,9.31E-18,0.00E+00,9.31E-18
80.2,9.28E-18,0.00E+00,9.28E-18
80.21,9.28E-18,0.00E+00,9.28E-18
80.22,9.20E-18,0.00E+00,9.20E-18
80.23,9.06E-18,0.00E+00,9.06E-18
80.24,9.06E-18,0.00E+00,9.06E-18
80.25,9.06E-18,0.00E+00,9.06E-18
80.26,9.06E-18,0.00E+00,9.06E-18
80.27,9.03E-18,0.00E+00,9.03E-18
80.28,8.99E-18,0.00E+00,8.99E-18
80.29,8.93E-18,0.00E+00,8.93E-18
80.3,8.90E-18,0.00E+00,8.90E-18
80.31,8.87E-18,0.00E+00,8.87E-18
80.32,8.84E-18,0.00E+00,8.84E-18
80.33,8.91E-18,0.00E+00,8.91E-18
80.34,8.98E-18,0.00E+00,8.98E-18
80.35,9.01E-18,0.00E+00,9.01E-18
80.36,9.02E-18,0.00E+00,9.02E-18
80.37,9.02E-18,0.00E+00,9.02E-18
80.38,9.02E-18,0.00E+00,9.02E-18
80.39,8.94E-18,0.00E+00,8.94E-18
80.4,8.84E-18,0.00E+00,8.84E-18
80.41,8.87E-18,0.00E+00,8.87E-18
80.42,8.91E-18,0.00E+00,8.91E-18
80.43,8.95E-18,0.00E+00,8.95E-18
80.44,9.07E-18,0.00E+00,9.07E-18
80.45,9.12E-18,0.00E+00,9.12E-18
80.46,9.11E-18,0.00E+00,9.11E-18
80.47,8.97E-18,0.00E+00,8.97E-18
80.48,8.88E-18,0.00E+00,8.88E-18
80.49,8.85E-18,0.00E+00,8.85E-18
80.5,8.85E-18,0.00E+00,8.85E-18
80.51,8.85E-18,0.00E+00,8.85E-18
80.52,8.85E-18,0.00E+00,8.85E-18
80.53,8.85E-18,0.00E+00,8.85E-18
80.54,8.85E-18,0.00E+00,8.85E-18
80.55,8.85E-18,0.00E+00,8.85E-18
